fault_query,matched_terms,entity_id,entity_type,description,related_entity,related_description,edge_description,edge_keywords,conditions,source_id,file_path
Antenna Failure,antenna,Transmission with multiple BS-side antenna connectors for NCR type 1-H,Concept,"Transmission with multiple BS-side antenna connectors for NCR type 1-H is a test requirement defined in section 4.5.2A of the present document. The manufacturer must declare input/output pairs and/or groups mapping input-side and output-side TAB connectors. The declared set must include all TAB connectors. The requirement applies to each BS-side TAB connector group. Testing is performed at the TAB connectors in each group with remaining connectors terminated. If the manufacturer declares the groups to be equivalent (as per D.13), measurement at any one BS-side TAB connector is sufficient",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,4.5.2A,Reference,,chunk-95f0ba669530c44fb7e1d1560bc4896f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.2
Antenna Failure,antenna,BS-side antenna connector,Terminology,,,,,,,chunk-95f0ba669530c44fb7e1d1560bc4896f,../3GPP-trunked/Rel-19/38_series/38115-1-j00.md4.5.2
Antenna Failure,antenna,MIMO,Concept,Multiple Input Multiple Output (MIMO) is a wireless technology that uses multiple antennas at both transmitter and receiver to improve communication performance and increase data throughput.<SEP>MIMO is a technology that involves multiple input and multiple output antennas for improving wireless communication performance. It is referenced in the context of measurement and testing procedures.,,,,,,chunk-44fe352826208b2ae85d58cf689bdbed<SEP>chunk-4ad3afaceea2be53ce3b355d8bef00cf,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.1.2.4<SEP>../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.1.3
Antenna Failure,antenna,Conducted interface,Concept,"The conducted interface is the boundary at individual or groups of TAB connectors between the transceiver unit array and the composite antenna, where conducted characteristics are defined. It serves as the interface for conducting electrical signal measurements.",,,,,,chunk-a22003c4d56fd6b7cd6a196049fc1957,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.2.2
Antenna Failure,antenna,Composite antenna,Technology,"The composite antenna consists of a radio distribution network (RDN) and an antenna array. It receives radio signals from the antenna array and distributes them to the transceiver unit array, or distributes RF power from the transceiver unit array to the antenna array in an implementation-specific manner.",,,,,,chunk-a22003c4d56fd6b7cd6a196049fc1957,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.2.2
Antenna Failure,antenna,Radio distribution network,Technology,The radio distribution network (RDN) is a linear passive network within the composite antenna that distributes RF power,,,,,,chunk-a22003c4d56fd6b7cd6a196049fc1957,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.2.2
Antenna Failure,antenna,Adjacent Channel Leakage Power Ratio,Concept,"Adjacent Channel Leakage Power Ratio (ACLR) is a measure of unwanted emissions in adjacent frequency channels. For Band n41 and n90 operation in Japan, absolute ACLR limits must be applied to the sum of the absolute ACLR power over all antenna connectors for BS type 1-C.",,,,,,chunk-c950a14d42dc86a7a7da32ffa729aebb,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.4
Antenna Failure,antenna,test port B,Terminology,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,transmitter characteristics,"Transmitter characteristics are specified at the antenna connector(s) of the UE for bands operating on frequency range 1, and over the air of the UE for bands operating on frequency range 2. These characteristics are verified separately for frequency range 1 and frequency range 2.",Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,apply_at,"[""external apparatus""]",chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,test port B,Terminology,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,external apparatus,,Transmitter characteristics requirements apply at test port B when external apparatus such as TX amplifier or filter is used,Condition,,chunk-b2b6f997dd5643fb931cdb91d839a76f,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.1
Antenna Failure,antenna,test port B,Terminology,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,receiver characteristics,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",Receiver characteristics apply at test port B when external apparatus such as RX amplifier or filter is used,apply at,,chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1
Antenna Failure,antenna,Reception with multiple receiver antenna connectors,Concept,"Reception with multiple receiver antenna connectors refers to a test scenario in clause 7 of the present document where receiver diversity or multi-carrier reception is evaluated. The requirement applies at each receiver antenna connector, and receiver requirements are tested at the antenna connector with remaining receivers disabled or their connectors terminated.",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 7 of the present document,Reference,,chunk-07b5c5983da061addd8c580057a36b85,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.2
Antenna Failure,antenna,receiver diversity,Concept,Receiver diversity is a technique used in receivers with multiple antenna connectors to improve signal reception quality by combining signals from different antennas.,REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 7 of the present document,Reference,,chunk-07b5c5983da061addd8c580057a36b85,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.2
Antenna Failure,antenna,multi-carrier reception,Concept,"Multi-carrier reception is a capability of receivers that allows simultaneous processing of multiple carrier signals, requiring multiple receiver antenna connectors.",,,,,,chunk-07b5c5983da061addd8c580057a36b85,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.2
Antenna Failure,antenna,receiver antenna connector,Terminology,,,,,,,chunk-07b5c5983da061addd8c580057a36b85,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.2
Antenna Failure,antenna,Transmission with multiple transmitter antenna connectors,Concept,"Transmission with multiple transmitter antenna connectors refers to a test scenario in clause 6 of the present document where each transmitter antenna connector is evaluated individually. The requirement applies to each connector, and transmitter requirements are tested at the antenna connector with other connectors terminated. If the manufacturer declares the transmitter paths as equivalent (D.32), testing at any one connector is sufficient.",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,"clause 6 of the present document)##
(",Reference,,chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,Transmission with multiple transmitter antenna connectors,Concept,"Transmission with multiple transmitter antenna connectors refers to a test scenario in clause 6 of the present document where each transmitter antenna connector is evaluated individually. The requirement applies to each connector, and transmitter requirements are tested at the antenna connector with other connectors terminated. If the manufacturer declares the transmitter paths as equivalent (D.32), testing at any one connector is sufficient.",transmitter paths,,"The manufacturer declares transmitter paths to be equivalent under D.32, which allows testing at any one transmitter antenna connector.",Condition,,chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,Transmission with multiple transmitter antenna connectors,Concept,"Transmission with multiple transmitter antenna connectors refers to a test scenario in clause 6 of the present document where each transmitter antenna connector is evaluated individually. The requirement applies to each connector, and transmitter requirements are tested at the antenna connector with other connectors terminated. If the manufacturer declares the transmitter paths as equivalent (D.32), testing at any one connector is sufficient.",D.32,,"The manufacturer declares transmitter paths to be equivalent under D.32, which allows testing at any one transmitter antenna connector.",Condition,,chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,Transmission with multiple transmitter antenna connectors,Concept,"Transmission with multiple transmitter antenna connectors refers to a test scenario in clause 6 of the present document where each transmitter antenna connector is evaluated individually. The requirement applies to each connector, and transmitter requirements are tested at the antenna connector with other connectors terminated. If the manufacturer declares the transmitter paths as equivalent (D.32), testing at any one connector is sufficient.",transmitter antenna connector,,"Transmitter requirements are tested at the antenna connector, with remaining connectors terminated.",Condition,,chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,Transmission with multiple transmitter antenna connectors,Concept,"Transmission with multiple transmitter antenna connectors refers to a test scenario in clause 6 of the present document where each transmitter antenna connector is evaluated individually. The requirement applies to each connector, and transmitter requirements are tested at the antenna connector with other connectors terminated. If the manufacturer declares the transmitter paths as equivalent (D.32), testing at any one connector is sufficient.",transmitter requirements,,"Transmitter requirements are tested at the antenna connector, with remaining connectors terminated.",Condition,,chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,Transmission with multiple transmitter antenna connectors,Concept,"Transmission with multiple transmitter antenna connectors refers to a test scenario in clause 6 of the present document where each transmitter antenna connector is evaluated individually. The requirement applies to each connector, and transmitter requirements are tested at the antenna connector with other connectors terminated. If the manufacturer declares the transmitter paths as equivalent (D.32), testing at any one connector is sufficient.",signal,,The signal is measured at the transmitter antenna connector during testing.,Condition,,chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,transmitter antenna connector,Terminology,,Transmission with multiple transmitter antenna connectors,"Transmission with multiple transmitter antenna connectors refers to a test scenario in clause 6 of the present document where each transmitter antenna connector is evaluated individually. The requirement applies to each connector, and transmitter requirements are tested at the antenna connector with other connectors terminated. If the manufacturer declares the transmitter paths as equivalent (D.32), testing at any one connector is sufficient.","Transmitter requirements are tested at the antenna connector, with remaining connectors terminated.",Condition,,chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,transmitter antenna connector,Terminology,,transmitter requirements,,"Transmitter requirements are tested at the antenna connector, with remaining connectors terminated.",test_at,"[""Transmission with multiple transmitter antenna connectors""]",chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,transmitter antenna connector,Terminology,,signal,,The signal is measured at the transmitter antenna connector during testing.,measure,"[""Transmission with multiple transmitter antenna connectors""]",chunk-927d25e570475c1c2612bfa770495f66,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.1.2
Antenna Failure,antenna,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",DEF,"The Support Team is responsible for the management of the work of the TSGs, including editorship and management of specifications under TSG change control, preparation and support for meetings (including meeting reports) of TSGs, their Working Groups, and subgroups, in descending priority, and liaison with other bodies and relevant groups and institutions.","Receiver characteristics are specified at the BS antenna connector (test port A) with a full complement of transceivers under normal operating conditions. If external apparatus such as a RX amplifier, a filter, or their combination is used, requirements apply at the far end antenna connector (test port B).",Definition,"[""normal operating conditions"", ""full complement of transceivers""]",chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1
Antenna Failure,antenna,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",REF,Clause 5.2.3.2.2 of 3GPP TS 29.5,clause 7,Reference,,chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1
Antenna Failure,antenna,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",full complement of transceivers,,Receiver characteristics are specified at test port A when operating under normal conditions with full transceiver complement,Condition,,chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1
Antenna Failure,antenna,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",normal operating conditions,,Receiver characteristics are specified at test port A when operating under normal conditions with full transceiver complement,Condition,,chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1
Antenna Failure,antenna,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",test port A,,Receiver characteristics are specified at test port A when operating under normal conditions with full transceiver complement,specified at,"[""normal operating conditions"", ""full complement of transceivers""]",chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1
Antenna Failure,antenna,receiver characteristics,Concept,"Receiver characteristics are specified in clause 7 at the BS antenna connector (test port A) under normal operating conditions with a full complement of transceivers. If external apparatus such as a RX amplifier, a filter, or their combination is used, the requirements apply at the far end antenna connector (test port B).",test port B,test port B is the far end antenna connector where transmitter requirements apply when external apparatus such as a TX amplifier or filter is used.<SEP>test port B is the far end antenna connector where receiver requirements apply when external apparatus such as a RX amplifier or filter is used.,Receiver characteristics apply at test port B when external apparatus such as RX amplifier or filter is used,apply at,,chunk-10a9c59ff456a682fb5aee61dc8f17b9,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.2.1
Antenna Failure,antenna; antenna system,antenna system,Technology,"The antenna system is a component in the Base Station that supports signal transmission and reception, and it can generate intermodulation products not controlled by 3GPP specifications, potentially degrading performance due to environmental factors like moisture ingress.",,,,,,chunk-23a3393241e68dfa7d3cbef199a4de80,../3GPP-trunked/Rel-19/38_series/38141-1-j00.md4.5.1.3
Antenna Failure,antenna,total radiated power,Concept,Total radiated power is the total power radiated by the antenna in all directions for two orthogonal polarizations. It is defined in both the near-field region and the far-field region.,,,,,,chunk-8ef808aabeadcdb05a2dd8fca9a586e2,../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone
Antenna Failure,antenna,CATR,Technology,"CATR stands for Compact Antenna Test Range, a facility used for testing antenna radiation patterns in a controlled environment.",,,,,,chunk-cf7430ab80e35b4f5b5182ec005bd9b7,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md3.3
Antenna Failure,antenna,CLTA,Technology,"CLTA stands for Co-Location Test Antenna, an antenna used in testing scenarios where multiple antennas are placed in close proximity.<SEP>CLTA refers to the co-location test antenna used in OTA (Over-The-Air) testing, whose selection and placement must meet the criteria specified in clause 4.12 to be deemed sufficient for test purposes.",,,,,,chunk-ce2112aa3c3007f71c40bfe590cc0bed<SEP>chunk-cf7430ab80e35b4f5b5182ec005bd9b7,../3GPP-trunked/Rel-19/38_series/38141-2-j00.md3.3<SEP>../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone
Antenna Failure,antenna,OTA Test System uncertainty,Concept,"OTA Test System uncertainty is the maximum permissible uncertainty in over-the-air (OTA) transmitter tests, defined in tables 4.1.2.2-1 and 4.1.2.2-2, with values specified under normal and extreme conditions for various test clauses and frequency bands.<SEP>OTA Test System uncertainty is the maximum allowable uncertainty in over-the-air testing systems, measured in dB, and varies based on the test condition, antenna configuration, and channel type (fading or<SEP>OTA Test System uncertainty refers to the maximum allowable measurement uncertainty in OTA receiver tests, with values specified per test clause and frequency range. It is a key metric for ensuring test accuracy and consistency.",,,,,,chunk-442a69a8297215ef2b3574f7213ea06f<SEP>chunk-91f72bc4f7e02da930a0d61d5e3cdc59<SEP>chunk-352f698f4cb999ea15298e918e970f6b,../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone
Antenna Failure,antenna,TR 37.941,Document,"TR 37.941 is a technical report that specifies the measurement uncertainty budget used for evaluating test system uncertainty in OTA testing, particularly related to the selection and alignment of the co-location test antenna.<SEP>NULL",,,,,,chunk-ce2112aa3c3007f71c40bfe590cc0bed<SEP>chunk-442a69a8297215ef2b3574f7213ea06f,../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone
Antenna Failure,antenna,single antenna port,Terminology,,,,,,,chunk-91f72bc4f7e02da930a0d61d5e3cdc59,../3GPP-trunked/Rel-19/38_series/38141-2-j00.mdNone
Antenna Failure,antenna,Iuant,Terminology,Iuant is the gNB internal logical interface between the implementation-specific O&M function and the RET antennas and TMAs control unit function of the gNB.,,,,,,chunk-b8435aa911791c468495995fbd821d4a,../3GPP-trunked/Rel-19/38_series/38176-1-j00.mdNone
Antenna Failure,antenna,TX antenna,Terminology,,,,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
Antenna Failure,antenna,RX antenna,Terminology,,,,,,,chunk-bc096626f85d63ac4a4bad15f656e7d2,../3GPP-trunked/Rel-19/38_series/38769-j00.md2
Antenna Failure,antenna,IMT parameters,Concept,"IMT parameters are technical characteristics studied in the frequency ranges of 4400 to 4800 MHz, 7125 to 8400 MHz, and 14800 to 15350 MHz. The study focuses on transmitter and receiver characteristics for NR BS and NR UE, co-existence analysis, AAS antenna models, and responses to ITU-R W5PD’s requests and additional questions.",,,,,,chunk-213c3280f9141c5602e530e3fedeb0aa,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,AAS antenna models,Concept,AAS antenna models are advanced,,,,,,chunk-213c3280f9141c5602e530e3fedeb0aa,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,array element,Concept,"An array element is a subdivision of a passive antenna array, consisting of a single radiating element or a group of radiating elements, with a fixed radiation pattern.",,,,,,chunk-5ad8deabed86a50a901ac67bdef77ac1,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,front-to-back ratio,Concept,Front-to-back ratio is the ratio of the maximum directivity of an antenna to its directivity in a specified rearward direction.,,,,,,chunk-5ad8deabed86a50a901ac67bdef77ac1,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,gain,Concept,"Gain is the ratio of the radiation intensity in a given direction to the radiation intensity that would be obtained if the power accepted by the antenna were radiated in an isotropic manner. If the direction is not specified, the direction of maximum radiation intensity is implied.",,,,,,chunk-5ad8deabed86a50a901ac67bdef77ac1,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,Am,Technology,"Am is the front-to-back ratio measured in dB, indicating the difference in signal strength between the front and back of the antenna array.",,,,,,chunk-c669528c9e7c5c8b17945c31a3394a3d,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,dh,Technology,"dh is the horizontal element separation between antenna elements, measured in meters.",,,,,,chunk-c669528c9e7c5c8b17945c31a3394a3d,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,dv,Technology,"dv is the vertical element separation between antenna elements, measured in meters.",,,,,,chunk-c669528c9e7c5c8b17945c31a3394a3d,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,SLAv,Technology,"SLAv is the side lobe suppression measured in dB, indicating the reduction of unwanted side lobes in the antenna pattern.",,,,,,chunk-c669528c9e7c5c8b17945c31a3394a3d,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,θ3dB,Technology,"θ3dB is the vertical half-power beamwidth, representing the angular width of the antenna's main lobe in the vertical plane.",,,,,,chunk-c669528c9e7c5c8b17945c31a3394a3d,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
Antenna Failure,antenna,θetilt,Technology,"θetilt is the electrical down-tilt angle measured in degrees, defined from the antenna array normal and directed downwards.",,,,,,chunk-c669528c9e7c5c8b17945c31a3394a3d,../3GPP-trunked/Rel-19/38_series/38922-j00.mdNone
